Judul Berita,Content,themes,author
"TSM Makassar Kebakaran, Api Sudah Berhasil Dipadamkan","Trans Studio Mall (TSM) Makassar dilanda kebakaran dengan sumber api diduga berasal dari lantai dua gedung, Senin (24/4). ;Kobaran api dilaporkan mulai membesar pada pukul 18.15 WITA. Para pengunjung dan karyawan mal saat itu berlarian menyelamatkan diri akibat panik dengan kejadian tersebut. ;Sejumlah kendaraan Dinas Damkar Makassar pada saat kejadian antisipatif bergerak cepat masuk ke area lokasi kebakaran untuk melakukan pemadaman, dan mengevakuasi pengunjung melalui pintu yang ada di teras lantai dua di gedung baru. ;""Petugas dan armada pemadam kebakaran sudah dikerahkan,"" kata Kadis Pemadam Kebakaran (Damkar) Makassar, Hasanuddin, Senin (24/4). ;Dirut PT Trans Kalla Makassar, Max Kembua, mengonfirmasi kebakaran terjadi di dalam area gedung baru Trans Mall Makassar di lantai dua. Sementara aktivitas di mall bagian lama tidak terganggu sama sekali.   ;Api berasal dari tempat foto yang terbuat dari kertas dan diduga disebabkan arus pendek listrik pada lampu tempat foto tersebut. ;""Ini ada spot foto yang kita buat kembang dari kertas. Itu memang menjadi favorit pengunjung untuk berfoto. Selain warna kembang yang menarik juga dilengkapi dengan lampu. Nah itu yang terjadi arus pendek listrik di situ,"" kata Max kepada CNNIndonesia.com di lokasi, Senin (24/4). ;Max menduga arus pendek listrik tersebut membuat percikan api yang mengenai kembang bunga kertas sehingga api dengan cepat menjalar. ;""Karena terbuat dari kertas makanya banyak asapnya,"" ujarnya. ;Max menuturkan bahwa kejadian itu tidak membakar gedung maupun wahana baru yakni, Trans Snow World Makassar. Kebakaran hanya melanda di spot foto dan kini sudah dikendalikan. ;""Mall tidak terbakar dan Trans Snow juga tidak terbakar. Pengunjung dan karyawan panik karena orang bilang kebakaran. Api hanya di kembang itu kok, tapi sudah padam,"" ujarnya. ;Pantauan CNNIndonesia.com di lokasi, api sudah mulai padam dijinakkan sekitar pukul 19.00 WITA. ;Petugas Damkar masih di lokasi kebakaran untuk menyisir area pendinginan dan pengunjung mal. ;Berdasarkan keterangan Kasat Reskrim Polrestabes Makassar, AKBP Ridwan Hutagaol, petugas mengevakuasi 20 orang ke rumah sakit terdekat untuk mendapat perawatan akibat menghirup asap kebakaran. ;Saat ini, Tim Damkar Makassar bersama personel Brimob Polda Sulsel masih melakukan proses penyisiran dan pendinginan ke dalam gedung. ;""Tadi tim masuk ke dalam menggunakan alat bantu,"" katanya. ;",kebakaran,CNN Indonesia
Kebakaran Lahap Ruko Tiga Lantai di Pasar Sentral Makassar,"Ruko yang menjual pakaian grosiran berlantai tiga yang berada di kompleks Pasar Sentral Makassar dilalap kobaran api, Minggu (23/4). Diduga penyebab kebakaran tersebut akibat arus pendek listrik. ;""Ruko yang menjual pakaian tadi dilalap api yang diduga akibat korsleting listrik,"" kata Kepala Dinas Damkar Makassar, Hasanuddin, Minggu (23/4). ;Dinas Pemadam Kebakaran (Damkar) Makassar mengerahkan sebanyak 18 unit armadanya untuk memadamkan kobaran api yang berkobar di dalam ruko tersebut. ;""Kita kerahkan 18 unit armada dan api dengan cepat berhasil dipadamkan tadi,"" ujarnya. ;Meski demikian, kata Hasanuddin dalam kejadian tersebut tidak ada korban jiwa maupun korban luka. Adapun nilai kerugian dari peristiwa tersebut belum dapat dipastikan. ;""Kerugian material masih dalam pendataan dan korban jiwa maupun luka juga tidak ada,"" imbuhnya. ;",kebakaran,CNN Indonesia
"Pilu Muara Angke Dilahap Api Kala Syahdu Takbir, Hingga Lupa Lebaran","Kumandang takbir menyambut Idulfitri 1444 H berganti jeritan panik dan histeris warga kala kebakaran melanda ratusan rumah di Muara Angke, Jakarta Utara, Sabtu (22/3) dini hari WIB. ;Setidaknya lebih dari 200an rumah warga--mayoritas semi permanen--ludes hangus terbakar pada dini hari itu. Humas Dinas Penanggulangan Kebakaran dan Penyelamatan (Gulkarmat) DKI Jakarta, Mulat Wijayanto, mengatakan pihaknya mendapat informasi kebakaran terjadi mulai pukul 01.45 WIB, Sabtu dini hari lalu. ;""Yang terbakar bangunan semi permanen. Kurang lebih 290 rumah tinggal semi permanen,"" kata Mulat dalam keterangannya kemarin. ;Dalam kebakaran tersebut tak ada korban jiwa, bahkan pihak RW mengatakan tak ada korban luka yang menjalani perawatan medis. Meskipun demikian, para warga di sana harus mengungsi karena hunian mereka hangus dilalap Si Jago Merah. ;Salah satunya Nurcahya (44) yang saat ditemui pada Sabtu sore lalu wajahnya tampak pucat sementara di sekitarnya wara-wiri mobil mengangkut tumpukan kardus yang berisi pakaian dan makanan menuju tenda pengungsian. ;Tak lama, kardus-kardus itu diserbu ibu-ibu yang tengah membopong anaknya sambil berdesakan menunggu giliran. ;Nurcahya enggan berdesak-desakan menunggu bagiannya. Pria itu ebih memilih untuk menepi dekat pintu masuk menuju permukiman yang dikelilingi tembok itu. ;Sesekali ia menatap tembok dari luar, di balik itu ada rumahnya yang kini telah ludes karena kebakaran yang terjadi Sabtu dini hari lalu. ;Saat berbincang dengan CNNIndonesia.com, Nurcahya mengaku bahkan tak ingat jika malam itu adalah lebaran. Ia hanya ingat kejadian nahas yang menimpa dirinya dan orang di sekitarnya yang tinggal di dalam tembok itu. ;""Saya enggak terpikir kalau hari itu lebaran, sampe lupa, liat tetangga, liat temen, yang di kampung rumahnya abis semua,"" kata Cahya saat ditemui di lokasi evakuasi, Sabtu (22/4). ;Berdasarkan keterangan petugas, api mulai berhasil dijinakkan sekitar pukul 06.00 WIB pada Sabtu pagi lalu.  ;Nurcahya seperti hilang arah karena tak kuasa menyaksikan rumah yang telah ditempatinya bertahun-bertahun itu tinggal menyisakan puing. ;""Kalau diceritain mah sedih... tapi ya gimana sudah terjadi,"" kata dia. ;
 ;Nurcahya mengaku istrinya tak berada bersama dia saat kebakaran itu terjadi. Pasangan hidupnya, kata dia, sudah mudik ke kampung halaman di Purbalingga, Jawa Tengah. ;Dia pun mengaku sudah menghubungi istrinya soal peristiwa yang terjadi pada malam lebaran lalu. ;Dia bercerita pada dini hari itu, saat api sedang merambat sebelum sampai ke rumahnya, Nurcahya bergegas mengemas barang yang bisa dibawa ke dalam tas, termasuk surat-surat penting termasuk baju seambilnya. ;""Sempet masuk ke rumah, cuman ngambil surat-surat doang. Saya ngambil satu tas aja, surat-surat sama bajunya istri. Satu tas kecil itu,"" kata Nurcahya. ;Kini, Nurcahya dan para korban kebakaran di Muara Angke itu menitipkan harapan kepada pemerintah untuk segera memperhatikan nasib mereka yang kini sudah kehilangan rumah. ;""Kalau misalnya dari pemerintah mau diatur rumah yang lebih baik lagi ya enggak apa-apa, biar lebih teratur,"" tutur Nurcahya ;""Kalau ada bantuan dari pemerintah ya bersyukur sekali. Mau ke siapa lagi kalau bukan ke pemerintah,"" pungkasnya. ;[Gambas:Video CNN] ;",kebakaran,CNN Indonesia
"Fakta-fakta Kebakaran di Muara Angke, Isu Korsleting Hingga Nol Korban","Kebakaran besar melahap permukiman padat penduduk di kawasan Tembok Bolong, Pelabuhan Perikanan Muara Angke, Penjaringan, Jakarta Utara, Sabtu (22/4) dini hari. Ratusan rumah pun jadi korban. ;Insiden itu terjadi di tengah persiapan menyambut hari raya Idulfitri. ;Meski menghanguskan ratusan rumah, kebakaran ini disebut tak menimbulkan korban jiwa. ;Berikut beberapa fakta soal kebakaran kawasan Muara Angke yang dirangkum CNNIndonesia.com sejauh ini: ;Kebakaran yang terjadi Tembok Bolong hingga kini belum dapat dipastikan asal muasalnya. ;Namun, Kasie Ops Sudin Gulkarmat Jakarta Utara Abdul Wahid mengatakan kebakaran yang terjadi pada rumah semi permanen di wilayah diduga akibat adanya korsleting listik. ;""Objek terbakar 290 Rumah Tinggal Semi Permanen. Dugaan penyebab (kebakaran) korsleting listrik,"" ujar Sudin dalam keterangan tertulis. ;Sementara itu, Beni Sadar selaku ketua RW 22 mengatakan pemicu kobaran api itu belum dapat diketahui dari mana asalnya. ;Korban kebakaran, NC (44) mengatakan bahwa ia tidak mengetahui sumber api yang menyebabkan rumahnya terbakar. ;""Kalau tahu asal muasalnya, enggak mungkin kebakaran,"" cetus dia, Sabtu (22/4). ;Pun dengan SF (40), ia tidak mengetahui sebab kebakaran itu. SF bahkan diberitahu anaknya bahwa api segera mendekati rumahnya. Saat itu SF mengaku tengah menyiapkan makanan untuk sajian esok hari perayaan Idulfitri. ;""Setelah saya udah masak semuanya, udah rapi pas jadi. Anak saya ngasih tau, pas saya lihat udah gede,"" kata SF. ;Hingga kini, penyebab kebakaran tersebut belum diketahui. ;Kebakaran yang melanda kawasan padat penduduk itu menghanguskan 219 bangunan warga. ;Hal itu dikonfirmasi pihak posko evakuasi. Salah satu petugas, Beni Sadar yang juga ketua RW mengatakan pihaknya telah melakukan pendataan berdasarkan laporan korban yang dievakuasi. ;Beni merinci dari sekitar 300-an rumah yang ada di permukiman itu, diantaranya 219 rumah hangus. ;
 ;""Hampir 300-an rumah, sementara yang tercatat 219 rumah yang terkena,"" kata Beni di posko pengungsian, Sabtu (22/4). ;Secara lingkup, kebakaran itu terjadi di satu RT yaitu di RT 11, RW 22. ;""Jadi yang kebakaran ini di RT 11, RW 22,"" kata Beni ;Menurut pengakuan pihak RW 22, sebagian warga bukan merupakan penduduk asli Tembok Bolong. Sehingga warga tersebut sebagian warga pulang ke kampung halamannya. ;""Ada dari Banten, dari Indramayu,"" kata Rw 22 di lokasi evakuasi. ;Ia juga mengaku tim evakuasi tidak sempat untuk menyelematkan barang-barang warga tersebut, karena rumah dalam posisi terkunci. ;Kebakaran itu tidak menimbulkan korban jiwa maupun luka-luka pada warga. Petugas Puskesmas Penjaringan memastikan tidak ada warga yang dirawat di rumah sakit atau puskesmas akibat terluka. ;""Enggak ada korban sih, semuanya aman. Korban luka juga enggak ada, artinya tidak ada warga yang dirawat di rumah sakit atau puksesmas,"" kata petugas di lokasi, Jakarta Utara, Sabtu (22/4). ;Sementara, terdapat petugas pemadam kebakaran mengalami luka akibat terperosok saat tengah melakukan pemadaman. ;""Alhamdulillah semuanya aman, enggak ada korban luka, di samping itu [korban] paling dari damkar yang kejeblos itu,"" kata Beni Sadar selaku ketua RW 22.",kebakaran,CNN Indonesia
"2 Orang Tewas akibat Kebakaran di Restoran Spanyol, 10 Luka-luka","Setidaknya dua orang tewas dan 10 lainnya luka-luka akibat kebakaran di salah satu restoran di Madrid, Spanyol, menjelang akhir pekan. ;Layanan gawat darurat Spanyol menyatakan kebakaran itu bermula di Burro Canaglia Bar & Resto pada Jumat (21/4) malam. ;Seorang saksi mata mengatakan kepada harian El Pais bahwa api awalnya merembet ketika seorang pramusaji sedang membakar pizza. ;Api pembakaran itu ternyata merembet ke dinding hingga langit-langit. ;[Gambas:Video CNN] ;Akibat kebakaran itu, satu pegawai restoran dan seorang pelanggan meninggal dunia. ;Wali Kota Madrid, Luis Martinez-Almeida, langsung mengecek situasi di lokasi. Ia kemudian mengonfirmasi jumlah korban tersebut.",kebakaran,CNN Indonesia
"219 Rumah Terbakar di Muara Angke, Petugas Sebut Nihil Korban Jiwa","Petugas Puskesmas Penjaringan memastikan tidak ada korban jiwa dalam peristiwa kebakaran yang menghanguskan 219 rumah padat penduduk di kawasan Tembok Bolong, Pelabuhan Perikanan Muara Angke, Penjaringan, Jakarta Utara, Jumat (21/4) dini hari. ;""Enggak ada korban sih, semuanya aman. Korban luka juga enggak ada, artinya tidak ada warga yang dirawat di rumah sakit atau puksesmas,"" kata petugas di lokasi, Jakarta Utara, Selasa (22/4). ;Hal serupa juga disampaikan petugas posko evakuasi, Beni Sadar, yang juga Ketua RW 22. Menurutnya, kebakaran yang terjadi di RT 11 Tembok Bolong itu tidak menimbulkan korban jiwa dan luka dari pihak warga. ;Ia menambahkan korban luka justru dari pihak Pemadam Kebakaran (Damkar) yang terperosok saat tengah memadamkan api. ;""Alhamdulillah semuanya aman, gada korban luka, disamping itu paling dari damkar yg kejeblos itu,"" kata Beni ;Sementara, tim evakuasi mengatakan telah berhasil menyelamatkan warga. Tercatat sebanyak 162 warga yang kini berada di tenda pengungsian sejak pukul 13.00 WIB. ;Beni juga mengatakan pihaknya kini tengah bekerjasama dengan berbagai pihak terkait penyaluran bantuan warga selama dievakuasi. ;""Ada dari Dinas Sosial, Temen RW, BPBD, PMI,"" kata Beni. ;Berdasarkan data yang diperoleh, kebutuhan warga meliputi kebutuhan pakaian, obat-obatan, air mineral, makanan dan lain sebagainya. ;Ia juga menjamin keperluan warga akan tercukupi selama di tenda pengungsian. ;""Sementara aman [keperluan warga selama evakuasi],"" kata Beni. ;",kebakaran,CNN Indonesia
"219 Rumah Terbakar di Muara Angke, Ratusan Warga Mengungsi Sementara","Ketua RW 22 Beni Sadar mengatakan terdapat 219 rumah terdampak akibat kebakaran yang melanda pemukiman padat penduduk di kawasan Tembok Bolong, Pelabuhan Perikanan Muara Angke, Penjaringan, Jakarta Utara, Jumat (21/4) dini hari. ;""Hampir 300-an rumah, sementara yang tercatat 219 rumah yang terkena,"" kata Beni di Jakarta Utara, Sabtu (22/4). ;Ia menerangkan kronologi kejadian kebakaran Muara Angke terjadi sekitar pukul 01.35 WIB dini hari. Kemudian pihak pemadam kebakaran berdatangan untuk segera memadamkan api.  ;""Pemadam datang sekitar jam 01.47 Wib,"" ujar Beni. ;Setelah itu petugas dari Dinas Sosial yang juga datang untuk memberikan bantuan darurat pada pukul 03.00 WIB. ;Beni mengatakan warga kini berhasil diungsikan sementara ke posko evakuasi yang tidak jauh sekitar lokasi. ;Berdasarkan data dari posko evakuasi, tercatat 162 jiwa dari 59 kepala keluarga yang berada di tenda penampungan. ;Mereka di antaranya 53 balita dan anak-anak, 110 jiwa orang dewasa dan lima lainnya lanjut usia. ;Beni mengatakan pihaknya kini tengah bekerjasama dengan berbagai pihak terkait penyaluran bantuan warga selama dievakuasi. ;""Ada dari Dinas Sosial, RW tetangga, BPBD, dan PMI,"" ujarnya ;Ia dan petugas juga telah mendata sejumlah keperluan warga selama di tenda pengungsian meliputi kebutuhan pakaian, obat-obatan, air mineral, makanan dan lain sebagainya",kebakaran,CNN Indonesia
Studi Buktikan Kepemilikan Anjing Bisa Turunkan Tingkat Kejahatan,"Kepemilikan anjing dalam satu lingkungan ternyata bisa mengurangi tingkat kejahatan di lingkungan tersebut. Hal itu diungkap dalam penelitian dari Ohio State University and the University of Texas di Austin berjudul Paws on the Street: Neighborhood-Level Concentration of Households with Dogs and Urban Crime. ;Mengutip Science Alert, hal itu bukan semata-mata karena anjingnya. Namun mereka yang memilki anjing biasanya akan harus membawa hewan peliharaannya itu berjalan-jalan. ;Itu artinya, para pemilik akan mengenal lingkungan tempat mereka tinggal. Peningkatan level aktivitas di jalan, dan interaksi dengan tetangga menyediakan level pengintaian di lingkungan tersebut. ;""Orang-orang yang berjalan dengan anjingnya sebetulnya sedang berpatroli di lingkungan mereka,"" tulis Sosiolog, Nicolo Pinchak yang terlibat dalam penelitian ini. ;""Mereka melihat ketika ada yang tidak beres, dan ketika ada tersangka orang luar di daerah itu. Itu bisa menjadi pencegah kejahatan,"" ia menambahkan. ;Hipotesis para peneliti tersebut terinspirasi oleh karya ahli teori perkotaan Jane Jacobs, yang mengambil petunjuk dari konsep 'mata di jalan'. ;
 ;Jacobs mengatakan orang-orang di tempat umum membantu menjaga ketertiban dan keamanan hanya melalui kehadiran mereka, karena memberi mereka kesempatan untuk mengawasi lingkungan mereka. ;""Pengawasan terus menerus dari 'mata di jalan' dan interaksi komunal oleh orang-orang di tempat umum membantu menciptakan jaringan rasa hormat dan kepercayaan publik dalam suatu lingkungan, yang bersama-sama dapat membantu mencegah terjadinya kejahatan,"" kata Jacobs. ;Sementara itu melansir Sci-News, dalam studinya Pinchak dkk. melihat statistik kriminal dari 2014 hingga 2016 di 595 blok sensus di area Columbus, Ohio. Mereka memeroleh data itu dari perusahaan pemasaran yang menanyakan kepemilikan anjing di lingkungan masing-masing kepada warga Columbus pada 2013. ;Selain itu, para ilmuwan juga menggunakan data dari Kesehatan dan Perkembangan Remaja dalam konteks mengukur tingkat kepercayaan dalam lingkungan masing-masing. ;""Riset menunjukkan bahwa kepercayaan di antara para tetangga adalah bagian penting dari menurunkan kriminalitas. Sebab, itu menyarankan bahwa warga akan saling bantu ketika menghadapi ancaman dan punya rasa kepemilikan bersama bahwa mereka bisa berdampak positif di lingkungannya,"" kata Pinchak. ;""Tetapi di antara lingkungan tetangga yang memiliki rasa saling percaya, lingkungan yang punya banyak anjing menunjukkan penurunan tingkat kriminalitas dibandingkan yang tidak,"" ujarnya menambahkan. ;[Gambas:Video CNN]",polisi,CNN Indonesia
VIDEO: Pasutri Terlibat Kejahatan,"Pasangan suami istri seharusnya saling membantu berbuat kebaikan.Tapi tidak dengan dua pasutri di Jombang Dan Mojokerto Jawa Timur, yang justru terlibat kejahatan.Apa saja aksi kejahatan mereka? Kita simak liputannya.",polisi,CNN Indonesia
VIDEO: Karyawati Tewas Dibacok Pemotor,"Seorang karyawati pabrik di Bekasi, Jawa Barat, ditemukan tewas dengan luka bacok pada punggung. Wanita bernama iska nurohmah ini menjadi korban pembunuhan yang dilakukan oleh pengendara motor . Sementara itu seorang karyawan mencuri sepeda motor majikannya sendiri., pelaku juga membawa kabur kotak amal.",polisi,CNN Indonesia
"Marak Gangster, Kapolda Metro Bakal Datangi Lokasi Rawan Kejahatan","Kapolda Metro Jaya Irjen Fadil Imran mengklaim akan mendatangi lokasi rawan aksi kejahatan atau kriminal di wilayah hukum Polda Metro Jaya. ;Beberapa kasus yang ia sorot antara lain aksi gangster yang menyerang warga di Pancoran Mas, Depok hingga aksi tawuran di Bekasi. ;""Saya akan datang ke lokasi-lokasi yang rawan tersebut sesuai jam kejadian,"" kata Fadil dalam video yang diunggah di akun Instagramnya @kapoldametrojaya seperti dilihat pada Selasa (8/3). ;Disampaikan Fadil, aksi kriminal yang merugikan masyarakat itu mesti direspon secara cepat. Karenanya, ia akan mengevaluasi jajarannya agar masyarakat merasa aman dan nyaman. ;""Ini yang saya katakan kita harus bekerja dengan ikhlas dan kita harus bekerja menyelesaikan persoalan, bekerja tuntas. Catat ya para Kapolsek saya akan datang ke lokasi-lokasi yang rawan tersebut,"" ucap Fadil. ;Fadil juga memerintah Direktur Reskrimum Polda Metro Jaya Kombes Tubagus Ade Hiidayat untuk menyiapkan sebuah rencana guna menekan aksi kriminal tersebut. ;""Disusun betul rencana aksi itu untuk mengidentifikasi kasus yang mengganggu masyarakat. Khususnya di wilayah Bekasi Depok Tangerang. Pak Dirkrimum disiapkan operasinya itu,"" tutur Fadil. ;Terpisah, Kabid Humas Polda Metro Jaya Kombes E Zulpan menyebut bahwa ada fenomena baru terkait aksi tawuran yang cukup sering terjadi di ibu kota. ;Kata Zulpan, saat ini para pelaku tawuran saling membuat janji di media sosial. Hal ini, katanya, menyebabkan Polsek setempat tak selalu bisa tahu bahwa ada aksi tawuran di wilayahnya. ;""Sekarang mereka janjiannya di media sosial. Nah makanya tim siber lah yang memantau, geng-geng ketemuan di jam berapa untuk tawuran,"" ujarnya. ;Menyikapi hal ini, menurut Zulpan, aksi tawuran bukan lagi tugas Polri semata. Tapi, juga melibatkan pihak terkait, mulai dari orang tua, sisi pendidikan, tokoh masyarakat dan sebagainya. ;""Langkah terakhir penegakan hukum itu. Kita sebenarnya tidak berharap juga, kita lebih berharap tidak ada kejahatan, dibandingkan kita harus menangkap pelaku kejahatan, lebih baik kan tidak ada kejahatan,"" ucap Zulpan.",polisi,CNN Indonesia
VIDEO: Aksi Kejahatan Terekam CCTV,"Dua remaja di Bekasi Jawa Barat, terekam kamera saat mencuri kursi tunggu berukuran panjang di salah satu gudang perusahaan ekspedisi . Aksi nekat keduanya menjadi viral di aplikasi pesan instan. ;Aksi pelaku begal di sebuah warung Kopi Jalan Letdanasir, Kecamatan Gunung Putri Kabupaten Bogor Jawa Barat, terekam kamera pemantau, hingga videonya menjadi viral di media sosial . Sambil mengacungkan celurit, pelaku merampas uang 50 ribu rupiah milik pelanggan, dan kabur bersama temannya,",polisi,CNN Indonesia
3 Cara Terhindar dari Kejahatan Modus Hipnotis,"Hipnotis kerap dijadikan salah satu modus kejahatan seperti penipuan. Terdapat sejumlah cara yang bisa dilakukan agar terhindar dari kejahatan bermodus hipnotis. ;Metode hipnosis ini membuat korban tidak sadar dan bersedia menuruti kemauan pelaku. Misalnya memberikan perhiasan yang dipakai atau mentransfer sejumlah uang. ;Modus penipuan ini bisa dilakukan melalui jarak jauh seperti telepon atau berbicara secara langsung. Guru Besar Fakultas Psikologi Universitas Gadjah Mada (UGM) Kwartarini Wahyu Yuniarti menjelaskan modus kejahatan ini disebut dengan kejahatan berbasis hipnosis atau di masyarakat awam dikenal dengan istilah hipnotis. ;""Kan sebenarnya hipnotis itu merujuk pada orangnya, dalam hal ini korban, sementara metodenya itu disebut hipnosis,"" kata Kwartarini kepada CNNIndonesia.com, Selasa (4/1) malam, bertepatan dengan peringatan Hari Hipnotis Sedunia. ;Modus kejahatan ini banyak terjadi di Indonesia. Kebanyakan hipnosis dilakukan untuk mengelabui korban melalui telepon atau bertemu langsung di lokasi kejadian. ;Kwartarini mengatakan setiap orang bisa menjadi korban kejahatan hipnotis. Meski demikian ada beberapa hal yang bisa dilakukan sebagai langkah antisipasi agar tidak menjadi korban hipnotis. ;Berikut cara terhindar dari kejahatan modus hipnotis: ;Pikiran kosong sangat mudah disusupi dan digerakkan melalui hipnosis. Saat Anda melamun, para pelaku kejahatan dengan mudah memasuki alam bawah sadar hingga bisa menggerakkan semua kehendaknya pada diri Anda. ;""Kalau sedang sendirian jangan melamun, jangan berpikir kosong, dengarkan musik atau berzikir sangat disarankan,"" kata Kwartarini. ;Banyaklah berpikir ketika Anda bepergian sendirian. Buat pikiran sibuk, jika sedang jalan-jalan sendirian lihatlah sekeliling, amati apapun yang bisa memecah pikiran Anda agar tak fokus pada satu titik saja. ;""Saat Anda fokus pada satu titik biasanya pikiran mudah disetir, alam bawah sadar mudah diambil alih,"" kata dia. ;Hal ini berlaku saat Anda yang mendapati korban hipnotis di sekitar Anda. Tepuk pundaknya atau sebut namanya berulang. ;""Buat jalinan dengan pelaku terputus, karena sebenarnya hipnotis mudah disconnect cukup dengan dipukul pundaknya agak kencang korban bisa langsung tersadar,"" kata Kwartarini. ;Itulah sejumlah cara yang bisa dilakukan agar terhindari dari modus kejahatan hipnotis.",polisi,CNN Indonesia
VIDEO: Langkah Antisipasi Kejahatan Di Transportasi Daring,"Pemerkosaan yang dilakukan oleh pengemudi taksi daring beberapa waktu lalu, menimbulkan rasa khawatir, terutama di kalangan wanita. Apalagi, saat ini transportasi daring menjadi andalan masyarakat. Untuk mencegah terjadinya kejahatan di taksi daring, konsumen patut melakukan langkah antisipasi. Berikut ulasannya.",polisi,CNN Indonesia
Satgas Investasi Tegaskan Pinjol Ilegal adalah Kejahatan,"Ketua Satgas Waspada Investasi Tongam Lumban Tobing menyebut pinjaman online (pinjol) sebagai tindak kejahatan. Ia mencontohkan oknum pinjol ilegal yang melakukan penipuan dan pemerasan terhadap pelanggannya. ;""Kita pinjam Rp1 juta yang ditransfer hanya Rp600 ribu, bunga yang dulunya dijanjikan contohnya setengah persen per hari menjadi 3 persen. Kemudian, jangka waktu diperjanjikan 90 hari menjadi 7 hari. Ini penipuan, pemerasan, jadi ini bukan merupakan jasa keuangan, jadi ini kejahatan,"" ujar Tongam dalam webinar Keberadaan Pinjol, Lebih Banyak Manfaat atau Mudharat?, Jum'at (3/9). ;Tongam menilai masyarakat akan terjebak dalam bahaya teror dan intimidasi ketika mengizinkan pinjol ilegal untuk mengakses data pribadi dalam handphone pelanggannya. ;Untuk itu, ia menyarankan agar masyarakat jangan pernah memberikan izin kepada pinjol ilegal untuk mengakses data pribadi miliknya. ;Ia turut menyarankan jika masyarakat terkena teror pinjol ilegal untuk segera melaporkan ke pihak kepolisian. ;Dalam pemaparannya, Tongam membeberkan ciri-ciri pinjol ilegal diantaranya tidak memiliki izin Otoritas Jasa Keuangan (OJK), tidak ada entitas pengurus dan alamat kantor yang jelas, bunga tidak terbatas, hingga ancaman teror dan menyebarkan informasi pribadi. ;Tongam menjelaskan terdapat dua alasan pinjol tumbuh subur di Indonesia. Pertama, mudahnya para pelaku pinjol ilegal dalam membuat aplikasi/website. ;Kedua, masyarakat yang tidak terlayani dengan sistem perbankan dapat dengan mudah mengakses pinjol ilegal melalui website ilegal/sms yang ditawarkan. ;Hingga saat ini, total pinjol ilegal yang telah dihentikan operasinya sampai dengan Juli 2021 sebanyak 3.365 entitas. ;Sementara itu, jumlah perusahaan fintech peer-to-peer (P2P) lending yang terdaftar di OJK hanya sebesar 116 entitas. Dengan jumlah investor sebanyak 709,69 ribu orang dan jumlah peminjam sebanyak 66,70 juta orang. ;[Gambas:Video CNN] ;",polisi,CNN Indonesia
VIDEO: Empat Kejahatan Yang Marak Selama Ramadan,"Empat kali beraksi mencuri sepeda motor milik jamaah Mesjid di Binjai, kecamatan Medan Denai, Sumatera utara, tiga anggota komplotan spesialis curanmor akhirnya ditangkap polisi. ;",polisi,CNN Indonesia
